SITE_ID,LATITUDE,LONGITUDE,watershed,year_start,year_end,total_samples,avg_TEMP,avg_DO,avg_risk_score,avg_TEMP_plus2,avg_DO_plus2,DO_critical_baseline,DO_critical_scenario,new_critical_events,DO_critical_percent,percent_increase_critical
W0013,42.52187793,-72.78051044,Deerfield,2005.0,2005.0,5,15.440000000000001,8.2,1.0,17.44,7.7,0,0,0,0.0,
W0026,42.61318632,-72.76875254,Deerfield,2005.0,2005.0,9,17.755555555555556,9.433333333333334,1.3333333333333333,19.755555555555556,8.933333333333334,0,0,0,0.0,
W0029,42.61342804,-72.76746064,Deerfield,2005.0,2005.0,9,17.866666666666667,9.166666666666666,1.3333333333333333,19.866666666666664,8.666666666666666,0,0,0,0.0,
W0035,42.62455322,-72.88079407,Deerfield,2005.0,2005.0,5,17.6,8.940000000000001,1.0,19.6,8.440000000000001,0,0,0,0.0,
W0040,42.63010011,-72.90142656,Deerfield,2005.0,2005.0,4,17.650000000000002,9.975,1.75,19.65,9.475,0,0,0,0.0,
W0051,42.5644422,-72.01154154,Millers,2005.0,2005.0,13,22.77692307692308,3.446153846153846,2.230769230769231,24.77692307692308,2.946153846153846,12,12,0,92.3076923076923,0.0
W0057,42.02769615,-71.95951089,Quinebaug,2006.0,2006.0,1,11.3,11.2,1.0,13.3,10.7,0,0,0,0.0,
W0075,42.0246995,-71.88418202,French,2009.0,2013.0,22,13.327272727272726,10.786363636363637,1.2727272727272727,15.327272727272726,10.286363636363637,0,0,0,0.0,
W0086,42.64744612,-71.15080259,Shawsheen,2005.0,2005.0,12,19.858333333333334,7.7,1.1666666666666667,21.858333333333334,7.2,1,1,0,8.333333333333332,0.0
W0091,42.53441868,-71.23357266,Shawsheen,2005.0,2005.0,12,18.833333333333332,5.05,1.6666666666666667,20.833333333333332,4.55,7,7,0,58.333333333333336,0.0
W0093,42.47371552,-71.26389288,Shawsheen,2005.0,2005.0,14,16.507142857142856,5.185714285714285,1.4285714285714286,18.50714285714286,4.685714285714285,7,10,3,50.0,42.857142857142854
W0097,42.59577308,-71.19608409,Shawsheen,2005.0,2005.0,12,19.066666666666666,5.766666666666667,1.25,21.066666666666666,5.266666666666667,2,5,3,16.666666666666664,150.0
W0099,42.48702713,-71.26400361,Shawsheen,2005.0,2005.0,13,14.807692307692308,7.607692307692307,0.8461538461538461,16.807692307692307,7.107692307692307,0,1,1,0.0,0.0
W0107,42.65985762,-70.9028537,Ipswich,2005.0,2005.0,11,20.981818181818184,4.318181818181818,1.8181818181818181,22.981818181818184,3.8181818181818183,6,9,3,54.54545454545454,50.0
W0110,42.61647019,-70.99700565,Ipswich,2005.0,2005.0,13,20.692307692307693,5.292307692307692,1.4615384615384615,22.692307692307693,4.792307692307692,4,10,6,30.76923076923077,150.0
W0112,42.57229149,-71.08984084,Ipswich,2005.0,2005.0,13,18.93846153846154,4.092307692307693,1.6923076923076923,20.93846153846154,3.5923076923076924,9,10,1,69.23076923076923,11.11111111111111
W0113,42.56116459,-71.11060168,Ipswich,2005.0,2005.0,11,19.38181818181818,3.772727272727273,1.8181818181818181,21.38181818181818,3.272727272727273,8,8,0,72.72727272727273,0.0
W0121,42.66124707,-70.8449088,Ipswich,2005.0,2005.0,13,19.99230769230769,4.184615384615385,1.8461538461538463,21.99230769230769,3.6846153846153844,8,11,3,61.53846153846154,37.5
W0130,42.62068997,-71.02025589,Ipswich,2005.0,2005.0,13,19.23076923076923,6.130769230769231,1.3076923076923077,21.23076923076923,5.630769230769231,2,4,2,15.384615384615385,100.0
W0136,42.57158947,-71.10125577,Ipswich,2005.0,2005.0,15,18.86,3.146666666666667,1.8,20.86,2.646666666666667,13,13,0,86.66666666666667,0.0
W0139,42.55888279,-71.14669759,Ipswich,2005.0,2005.0,14,17.407142857142855,2.3000000000000003,1.5714285714285714,19.407142857142855,1.8142857142857143,11,12,1,78.57142857142857,9.090909090909092
W0143,42.55191092,-71.15006628,Ipswich,2005.0,2005.0,4,16.8,2.675,2.25,18.8,2.2,3,4,1,75.0,33.33333333333333
W0168,42.01272012,-71.34763073,Ten Mile,2007.0,2007.0,8,18.2375,8.8,1.625,20.2375,8.3,0,0,0,0.0,
W0169,41.97463265,-71.32957594,Ten Mile,2007.0,2007.0,9,16.922222222222224,6.611111111111111,1.8888888888888888,18.92222222222222,6.111111111111111,3,4,1,33.33333333333333,33.33333333333333
W0170,41.96096078,-71.30757184,Ten Mile,2007.0,2007.0,9,17.166666666666668,8.077777777777778,1.5555555555555556,19.166666666666668,7.577777777777778,0,0,0,0.0,
W0172,41.93742221,-71.29026644,Ten Mile,2007.0,2007.0,9,18.755555555555556,7.7555555555555555,1.5555555555555556,20.755555555555556,7.2555555555555555,0,0,0,0.0,
W0173,41.91782609,-71.30583763,Ten Mile,2007.0,2007.0,9,19.12222222222222,7.777777777777778,1.5555555555555556,21.12222222222222,7.277777777777778,0,0,0,0.0,
W0175,41.89609284,-71.32576502,Ten Mile,2007.0,2007.0,9,18.866666666666667,7.155555555555556,1.6666666666666667,20.866666666666667,6.655555555555556,1,3,2,11.11111111111111,200.0
W0176,41.89026914,-71.34011441,Ten Mile,2007.0,2007.0,9,18.044444444444444,8.066666666666666,1.5555555555555556,20.044444444444444,7.566666666666666,0,0,0,0.0,
W0179,41.95360395,-71.28005181,Ten Mile,2007.0,2007.0,9,18.6,5.077777777777778,1.8888888888888888,20.6,4.577777777777778,3,4,1,33.33333333333333,33.33333333333333
W0180,41.92726089,-71.2852236,Ten Mile,2007.0,2007.0,8,15.2,6.625,1.375,17.2,6.125,1,2,1,12.5,100.0
W0181,41.93648287,-71.32433494,Ten Mile,2007.0,2007.0,9,13.022222222222222,8.766666666666667,1.5555555555555556,15.02222222222222,8.266666666666667,0,0,0,0.0,
W0182,41.95117817,-71.34184089,Ten Mile,2007.0,2007.0,8,14.6,8.9,1.375,16.6,8.4,0,0,0,0.0,
W0183,41.90125767,-71.3434294,Ten Mile,2007.0,2007.0,9,15.155555555555557,7.533333333333333,1.5555555555555556,17.155555555555555,7.033333333333333,0,0,0,0.0,
W0184,41.85773302,-71.32945548,Ten Mile,2007.0,2007.0,7,17.057142857142857,6.1000000000000005,2.142857142857143,19.057142857142857,5.6000000000000005,4,4,0,57.14285714285714,0.0
W0198,42.15688759,-73.07352832,Farmington,2006.0,2017.0,6,17.2,9.816666666666666,1.0,19.2,9.316666666666666,0,0,0,0.0,
W0201,42.07885841,-73.0731024,Farmington,2006.0,2017.0,6,16.433333333333334,9.983333333333333,1.3333333333333333,18.433333333333334,9.483333333333333,0,0,0,0.0,
