UNIQUE_ID,Latitude,Longitude,year,month,season,TEMP,DO,risk_score,DO_critical,stress_combo,flow_flag,TEMP_plus2,DO_plus2,watershed
W2944,42.30793443,-71.80008188,2019.0,11.0,Fall,14.9,9.2,1,0,0,1,16.9,8.7,Blackstone
W2945,42.30647078,-71.76580774,2019.0,11.0,Fall,13.2,9.5,1,0,0,1,15.2,9.0,Blackstone
W2946,42.23658166,-71.70515602,2019.0,11.0,Fall,14.5,9.3,1,0,0,1,16.5,8.8,Blackstone
W2188,42.20836571,-71.69757011,2019.0,11.0,Fall,14.5,9.1,1,0,0,1,16.5,8.6,Blackstone
W1242,42.17728889,-71.68788468,2019.0,11.0,Fall,15.2,9.8,1,0,0,1,17.2,9.3,Blackstone
W2947,42.17548786,-71.72816762,2019.0,11.0,Fall,13.8,9.7,1,0,0,1,15.8,9.2,Blackstone
W1767,42.18277682,-71.76604587,2019.0,11.0,Fall,8.1,12.4,1,0,0,1,10.1,11.9,Blackstone
W2948,42.30798331,-71.81943101,2019.0,11.0,Fall,11.6,9.6,1,0,0,1,13.6,9.1,Blackstone
W2949,42.20322946,-71.8374543,2019.0,11.0,Fall,13.2,9.7,1,0,0,1,15.2,9.2,Blackstone
W2950,42.19026146,-71.84582602,2019.0,11.0,Fall,12.8,10.0,1,0,0,1,14.8,9.5,Blackstone
W1776,42.20670671,-71.85281517,2019.0,11.0,Fall,13.3,9.3,1,0,0,1,15.3,8.8,Blackstone
W1426,42.26230119,-71.84822737,2019.0,11.0,Fall,13.0,9.8,1,0,0,1,15.0,9.3,Blackstone
W2944,42.30793443,-71.80008188,2020.0,9.0,Fall,14.7,4.8,2,1,0,1,16.7,4.3,Blackstone
W2945,42.30647078,-71.76580774,2020.0,9.0,Fall,12.9,10.4,1,0,0,1,14.9,9.9,Blackstone
W2946,42.23658166,-71.70515602,2020.0,9.0,Fall,17.2,8.4,1,0,0,1,19.2,7.9,Blackstone
W2188,42.20836571,-71.69757011,2020.0,9.0,Fall,19.0,8.1,1,0,0,1,21.0,7.6,Blackstone
W1242,42.17728889,-71.68788468,2020.0,9.0,Fall,17.8,9.4,1,0,0,1,19.8,8.9,Blackstone
W2947,42.17548786,-71.72816762,2020.0,9.0,Fall,13.0,10.0,1,0,0,1,15.0,9.5,Blackstone
W1767,42.18277682,-71.76604587,2020.0,9.0,Fall,14.8,10.1,1,0,0,1,16.8,9.6,Blackstone
W2949,42.20322946,-71.8374543,2020.0,9.0,Fall,15.3,12.0,1,0,0,1,17.3,11.5,Blackstone
W2950,42.19026146,-71.84582602,2020.0,9.0,Fall,15.5,10.2,1,0,0,1,17.5,9.7,Blackstone
W1776,42.20670671,-71.85281517,2020.0,9.0,Fall,17.2,8.8,1,0,0,1,19.2,8.3,Blackstone
W1426,42.26230119,-71.84822737,2020.0,9.0,Fall,16.8,8.3,1,0,0,1,18.8,7.800000000000001,Blackstone
W2948,42.30798331,-71.81943101,2020.0,9.0,Fall,15.2,9.5,1,0,0,1,17.2,9.0,Blackstone
W1590,42.34154459,-71.26662505,2020.0,7.0,Summer,18.9,9.3,2,0,0,1,20.9,8.8,Charles
W1590,42.34154459,-71.26662505,2020.0,8.0,Summer,20.5,8.9,2,0,0,1,22.5,8.4,Charles
W3003,42.38881334,-71.29698568,2020.0,7.0,Summer,21.7,6.2,2,0,0,1,23.7,5.7,Charles
W3003,42.38881334,-71.29698568,2020.0,8.0,Summer,21.5,7.1,2,0,0,1,23.5,6.6,Charles
W3006,42.20924747,-71.18482101,2020.0,7.0,Summer,20.1,7.8,2,0,0,1,22.1,7.3,Neponset
W3006,42.20924747,-71.18482101,2020.0,8.0,Summer,21.9,5.8,2,0,0,1,23.9,5.3,Neponset
W0546,42.18920084,-71.2401585,2020.0,7.0,Summer,19.3,8.4,2,0,0,1,21.3,7.9,Neponset
W0546,42.18920084,-71.2401585,2020.0,8.0,Summer,21.1,7.9,2,0,0,1,23.1,7.4,Neponset
W2992,41.94464888,-71.37166023,2020.0,7.0,Summer,22.4,8.4,2,0,0,1,24.4,7.9,Blackstone
W2992,41.94464888,-71.37166023,2020.0,8.0,Summer,24.6,7.4,2,0,0,1,26.6,6.9,Blackstone
W3005,42.06029614,-71.42140501,2020.0,7.0,Summer,21.1,8.4,2,0,0,1,23.1,7.9,Charles
W3005,42.06029614,-71.42140501,2020.0,8.0,Summer,23.0,7.8,2,0,0,1,25.0,7.3,Charles
W2962,42.16373516,-72.534428,2020.0,7.0,Summer,21.1,8.0,2,0,0,1,23.1,7.5,Chicopee
W2962,42.16373516,-72.534428,2020.0,8.0,Summer,19.5,8.2,2,0,0,1,21.5,7.699999999999999,Chicopee
W2963,42.18866352,-72.45219345,2020.0,7.0,Summer,16.9,9.3,2,0,0,1,18.9,8.8,Chicopee
W2963,42.18866352,-72.45219345,2020.0,8.0,Summer,18.2,8.7,2,0,0,1,20.2,8.2,Chicopee
W2964,42.21061244,-72.40257059,2020.0,7.0,Summer,22.6,7.1,2,0,0,1,24.6,6.6,Chicopee
W2964,42.21061244,-72.40257059,2020.0,8.0,Summer,16.7,3.9,3,1,0,1,18.7,3.4,Chicopee
W2975,42.2164917,-72.37689964,2020.0,7.0,Summer,21.1,7.9,2,0,0,1,23.1,7.4,Chicopee
W2975,42.2164917,-72.37689964,2020.0,8.0,Summer,17.4,1.7,3,1,0,1,19.4,1.2,Chicopee
W2965,42.17332508,-72.25295351,2020.0,7.0,Summer,22.7,8.6,2,0,0,1,24.7,8.1,Chicopee
W2965,42.17332508,-72.25295351,2020.0,8.0,Summer,19.1,9.3,2,0,0,1,21.1,8.8,Chicopee
W2966,42.22326789,-72.22512226,2020.0,7.0,Summer,21.2,8.3,2,0,0,1,23.2,7.800000000000001,Chicopee
W2966,42.22326789,-72.22512226,2020.0,8.0,Summer,19.6,8.6,2,0,0,1,21.6,8.1,Chicopee
W2971,42.21712393,-71.99983627,2020.0,7.0,Summer,28.0,6.1,2,0,0,1,30.0,5.6,Chicopee
W2971,42.21712393,-71.99983627,2020.0,8.0,Summer,22.7,6.8,2,0,0,1,24.7,6.3,Chicopee
W2983,42.35641055,-72.23099629,2020.0,7.0,Summer,20.0,7.1,2,0,0,1,22.0,6.6,Chicopee
W2983,42.35641055,-72.23099629,2020.0,8.0,Summer,19.7,4.6,3,1,0,1,21.7,4.1,Chicopee
W2984,42.31493164,-72.20590855,2020.0,7.0,Summer,20.1,8.5,2,0,0,1,22.1,8.0,Chicopee
W2984,42.31493164,-72.20590855,2020.0,8.0,Summer,22.4,8.0,2,0,0,1,24.4,7.5,Chicopee
W2985,42.31601104,-72.18146595,2020.0,7.0,Summer,18.2,8.7,2,0,0,1,20.2,8.2,Chicopee
W2985,42.31601104,-72.18146595,2020.0,8.0,Summer,19.9,7.8,2,0,0,1,21.9,7.3,Chicopee
W2967,42.28886649,-72.12794852,2020.0,7.0,Summer,19.1,8.4,2,0,0,1,21.1,7.9,Chicopee
W2967,42.28886649,-72.12794852,2020.0,8.0,Summer,21.2,5.4,2,0,0,1,23.2,4.9,Chicopee
W2968,42.2978692,-72.11726439,2020.0,7.0,Summer,20.8,8.5,2,0,0,1,22.8,8.0,Chicopee
W2968,42.2978692,-72.11726439,2020.0,8.0,Summer,23.7,7.9,2,0,0,1,25.7,7.4,Chicopee
W2969,42.31427223,-72.09667589,2020.0,7.0,Summer,18.6,7.0,2,0,0,1,20.6,6.5,Chicopee
W2974,42.33173523,-72.05029579,2020.0,7.0,Summer,23.1,5.7,2,0,0,1,25.1,5.2,Chicopee
W2974,42.33173523,-72.05029579,2020.0,8.0,Summer,29.5,6.0,2,0,0,1,31.5,5.5,Chicopee
W2973,42.33884782,-72.03406499,2020.0,7.0,Summer,20.2,7.1,2,0,0,1,22.2,6.6,Chicopee
W2973,42.33884782,-72.03406499,2020.0,8.0,Summer,23.4,6.4,2,0,0,1,25.4,5.9,Chicopee
W2025,42.43816198,-72.20732375,2020.0,7.0,Summer,19.4,8.8,2,0,0,1,21.4,8.3,Chicopee
W2025,42.43816198,-72.20732375,2020.0,8.0,Summer,20.5,8.4,2,0,0,1,22.5,7.9,Chicopee
W2982,42.45211895,-72.16662911,2020.0,7.0,Summer,16.6,9.0,2,0,0,1,18.6,8.5,Chicopee
W2982,42.45211895,-72.16662911,2020.0,8.0,Summer,18.4,8.8,2,0,0,1,20.4,8.3,Chicopee
W2986,42.41359781,-72.14305722,2020.0,7.0,Summer,21.2,3.2,3,1,0,1,23.2,2.7,Chicopee
W2986,42.41359781,-72.14305722,2020.0,8.0,Summer,23.4,1.8,3,1,0,1,25.4,1.3,Chicopee
W2987,42.37739264,-72.10776295,2020.0,7.0,Summer,22.9,8.6,2,0,0,1,24.9,8.1,Chicopee
W2987,42.37739264,-72.10776295,2020.0,8.0,Summer,21.1,8.4,2,0,0,1,23.1,7.9,Chicopee
W2988,42.37487541,-72.08751928,2020.0,7.0,Summer,18.0,9.0,1,0,0,0,20.0,8.5,Chicopee
W2988,42.37487541,-72.08751928,2020.0,8.0,Summer,19.2,8.7,1,0,0,0,21.2,8.2,Chicopee
W2989,42.45158172,-72.0300279,2020.0,7.0,Summer,23.8,5.5,2,0,0,1,25.8,5.0,Chicopee
