UNIQUE_ID,Latitude,Longitude,TEMP,DO,flow_flag,risk_score,season,year,month,is_summer,DO_critical,stress_combo
W2944,42.30793443,-71.80008188,14.9,9.2,1,1,Fall,2019.0,11.0,0,0,0
W2945,42.30647078,-71.76580774,13.2,9.5,1,1,Fall,2019.0,11.0,0,0,0
W2946,42.23658166,-71.70515602,14.5,9.3,1,1,Fall,2019.0,11.0,0,0,0
W2188,42.20836571,-71.69757011,14.5,9.1,1,1,Fall,2019.0,11.0,0,0,0
W1242,42.17728889,-71.68788468,15.2,9.8,1,1,Fall,2019.0,11.0,0,0,0
W2947,42.17548786,-71.72816762,13.8,9.7,1,1,Fall,2019.0,11.0,0,0,0
W1767,42.18277682,-71.76604587,8.1,12.4,1,1,Fall,2019.0,11.0,0,0,0
W2948,42.30798331,-71.81943101,11.6,9.6,1,1,Fall,2019.0,11.0,0,0,0
W2949,42.20322946,-71.8374543,13.2,9.7,1,1,Fall,2019.0,11.0,0,0,0
W2950,42.19026146,-71.84582602,12.8,10.0,1,1,Fall,2019.0,11.0,0,0,0
W1776,42.20670671,-71.85281517,13.3,9.3,1,1,Fall,2019.0,11.0,0,0,0
W1426,42.26230119,-71.84822737,13.0,9.8,1,1,Fall,2019.0,11.0,0,0,0
W2944,42.30793443,-71.80008188,14.7,4.8,1,2,Fall,2020.0,9.0,0,1,0
W2945,42.30647078,-71.76580774,12.9,10.4,1,1,Fall,2020.0,9.0,0,0,0
W2946,42.23658166,-71.70515602,17.2,8.4,1,1,Fall,2020.0,9.0,0,0,0
W2188,42.20836571,-71.69757011,19.0,8.1,1,1,Fall,2020.0,9.0,0,0,0
W1242,42.17728889,-71.68788468,17.8,9.4,1,1,Fall,2020.0,9.0,0,0,0
W2947,42.17548786,-71.72816762,13.0,10.0,1,1,Fall,2020.0,9.0,0,0,0
W1767,42.18277682,-71.76604587,14.8,10.1,1,1,Fall,2020.0,9.0,0,0,0
W2949,42.20322946,-71.8374543,15.3,12.0,1,1,Fall,2020.0,9.0,0,0,0
W2950,42.19026146,-71.84582602,15.5,10.2,1,1,Fall,2020.0,9.0,0,0,0
W1776,42.20670671,-71.85281517,17.2,8.8,1,1,Fall,2020.0,9.0,0,0,0
W1426,42.26230119,-71.84822737,16.8,8.3,1,1,Fall,2020.0,9.0,0,0,0
