UNIQUE_ID,avg_summer_temp,avg_summer_do,critical_events,sample_count,cluster,risk_category
W0013,15.440000000000001,8.2,0,5,1,Low Risk
W0026,18.087500000000002,9.3125,0,8,1,Low Risk
W0029,18.2625,9.05,0,8,1,Low Risk
W0035,17.6,8.940000000000001,0,5,1,Low Risk
W0051,24.022222222222222,3.1444444444444444,9,9,0,High Risk
W0075,22.150000000000002,8.283333333333333,0,6,2,Medium Risk
W0086,21.1625,7.975,0,8,2,Medium Risk
W0091,20.05,4.925,5,8,0,High Risk
W0093,17.925,4.875,4,8,0,High Risk
W0097,20.3875,5.6000000000000005,1,8,2,Medium Risk
W0099,16.314285714285713,7.3999999999999995,0,7,1,Low Risk
W0107,23.457142857142856,3.4857142857142853,6,7,0,High Risk
W0110,22.355555555555554,4.966666666666667,3,9,0,High Risk
W0112,20.27777777777778,3.9111111111111114,7,9,0,High Risk
W0113,22.585714285714285,3.471428571428571,6,7,0,High Risk
W0121,21.6,3.322222222222222,8,9,0,High Risk
W0130,20.87777777777778,5.766666666666667,2,9,2,Medium Risk
W0136,21.255555555555556,2.6333333333333333,9,9,0,High Risk
W0139,19.9,1.5125,8,8,0,High Risk
W0168,21.36,8.34,0,5,2,Medium Risk
W0169,20.479999999999997,5.0,3,5,0,High Risk
W0170,20.380000000000003,6.959999999999999,0,5,2,Medium Risk
W0172,23.02,6.82,0,5,2,Medium Risk
W0173,23.32,6.7,0,5,2,Medium Risk
W0175,22.98,5.88,1,5,2,Medium Risk
W0176,22.0,7.279999999999999,0,5,2,Medium Risk
W0179,23.22,4.84,2,5,2,Medium Risk
W0181,14.26,8.24,0,5,1,Low Risk
W0183,17.98,6.659999999999999,0,5,1,Low Risk
W0293,16.415384615384617,9.546153846153846,0,13,1,Low Risk
W0344,19.836363636363636,8.445454545454545,0,11,1,Low Risk
W0347,21.864516129032257,6.629032258064516,7,31,0,High Risk
W0348,20.075,4.675,7,16,0,High Risk
W0357,18.014285714285712,1.6285714285714286,7,7,0,High Risk
W0371,18.433333333333334,8.916666666666666,0,6,1,Low Risk
W0384,21.785714285714285,5.171428571428572,4,7,0,High Risk
