Watershed,DO_critical_count,stress_combo_count,flow_flag_count,avg_risk_score,avg_temp,avg_DO,total_samples,num_sites,risk_rank
Parker,10,0,23,2.217391304347826,19.808695652173913,6.143478260869566,23,4,1
Merrimack,32,0,137,1.9859154929577465,20.211971830985913,6.844366197183098,142,20,2
North Coastal,39,0,217,1.8675799086757991,16.616438356164384,7.284018264840183,219,26,3
Narragansett Bay (Shore),9,0,98,1.8673469387755102,18.645918367346937,7.087755102040816,98,15,4
Mount Hope Bay (Shore),5,3,61,1.8524590163934427,21.059016393442622,7.38688524590164,61,8,5
Weymouth & Weir,14,0,141,1.8493150684931507,17.850684931506848,7.605479452054795,146,26,6
South Coastal,30,6,175,1.8216216216216217,21.193513513513516,7.2291891891891895,185,29,7
Ipswich,88,13,98,1.807909604519774,19.998305084745763,4.786440677966102,177,20,8
Westfield,45,2,316,1.790625,19.4271875,7.845000000000001,320,53,9
Connecticut,24,0,432,1.759009009009009,18.945495495495493,8.31936936936937,444,76,10
Bashbish,0,0,12,1.75,14.491666666666667,9.758333333333333,12,1,11
Charles,63,1,381,1.75,19.387626262626263,7.078282828282828,396,48,12
Housatonic,9,0,300,1.7412140575079873,18.48115015974441,8.32332268370607,313,45,13
Farmington,26,1,160,1.7289156626506024,19.40722891566265,7.454819277108434,166,19,14
Ten Mile,19,0,176,1.7150837988826815,17.530167597765363,7.505027932960894,179,24,15
Cape Cod,71,2,419,1.704989154013015,20.787201735357918,7.353362255965293,461,35,16
Nashua,49,3,706,1.6937931034482758,16.988137931034483,8.457931034482758,725,63,17
Chicopee,77,2,783,1.6817102137767221,17.274465558194773,8.553206650831354,842,119,18
Taunton,75,6,526,1.6772655007949127,21.54133545310016,7.155802861685214,629,67,19
Mystic,57,3,195,1.6504065040650406,18.90813008130081,7.119918699186992,246,20,20
Blackstone,37,1,710,1.6442577030812324,17.672268907563026,8.4093837535014,714,86,21
Buzzards Bay,51,3,375,1.608080808080808,21.661818181818184,7.682222222222222,495,48,22
Neponset,5,1,156,1.6012658227848102,17.78924050632911,8.187974683544304,158,31,23
Concord (SuAsCo),79,5,623,1.5912518853695323,17.02081447963801,8.178883861236804,663,79,24
Kinderhook,0,0,21,1.5238095238095237,14.795238095238094,9.495238095238095,21,3,25
Quinebaug,13,0,229,1.508695652173913,15.772173913043478,9.441739130434783,230,16,26
Deerfield,0,0,123,1.5057471264367817,17.9316091954023,9.233908045977012,174,27,27
French,7,0,149,1.5033557046979866,18.39530201342282,8.620805369127517,149,8,28
Hoosic,3,0,203,1.5023923444976077,17.051674641148328,9.602870813397129,209,40,29
Shawsheen,30,0,93,1.4746835443037976,18.865822784810128,6.49873417721519,158,21,30
Millers,48,3,433,1.4647887323943662,17.14718309859155,8.36355633802817,568,48,31
