ID,Warehouse_vintage,Datayear,QCStatus,QCDate,Projname,Watershed,SARIS_PALIS_CAMIS,Waterbody,UNIQUE_ID,STAID_YR,DESCRIPTOR,MLTYP_NAME,MILEPT,nMILEPT,Latitude,Longitude,FSLOG,SURV_TYPE,OWMID,DATE,dDATE,TIME,dTIME,FLOWSTAT,DEPTH,nDEPTH,DEPTHSS,TEMP,nTEMP,TEMPSS,PH,nPH,PHSS,SPCOND,nSPCOND,SPCONDSS,TDS,nTDS,TDSSS,DO,nDO,DOSS,DOSAT,nDOSAT,DOSATSS,ResComm,datetime,year,month,day,day_of_year,season,is_summer,DO_critical,stress_combo,flow_flag,risk_score
134854,Extracted from WPP_WQData_2005-2020.mdb on 6/30/2022 3:25:38 PM,2020,QC4,2022-06-02 11:15:33,Chloride Project (2020),Blackstone,5133025,Weasel Brook,W2944,Bla01,"[daylighted portion of brook south of Brooks Street, Worcester]",River/Stream,,,42.30793443,-71.80008188,20-G501-01,Probe,17-0103,11/1/2019,2019-11-01,8:15:05 AM,08:15:05,Flowing,0.0,0.0,i,14.9,14.9,,7.4,7.4,,484.0,484.0,,310.0,310.0,,9.2,9.2,,94,94.0,,,2019-11-01,2019.0,11.0,1.0,305.0,Fall,0,0,0,1,1
134855,Extracted from WPP_WQData_2005-2020.mdb on 6/30/2022 3:25:38 PM,2020,QC4,2022-06-02 11:15:33,Chloride Project (2020),Blackstone,5132575,Poor Farm Brook,W2945,Bla02,"[approximately 50 feet upstream/west of Northeast Cutoff, Worcester]",River/Stream,,,42.30647078,-71.76580774,20-G501-02,Probe,17-0105,11/1/2019,2019-11-01,9:15:05 AM,09:15:05,Flowing,0.0,0.0,i,13.2,13.2,,7.3,7.3,,521.0,521.0,,333.0,333.0,,9.5,9.5,,93,93.0,,,2019-11-01,2019.0,11.0,1.0,305.0,Fall,0,0,0,1,1
134856,Extracted from WPP_WQData_2005-2020.mdb on 6/30/2022 3:25:38 PM,2020,QC4,2022-06-02 11:15:33,Chloride Project (2020),Blackstone,5132475,Big Bummet Brook,W2946,Bla03,"[downstream from Pratts Pond Dam (NAT ID: MA00581) Route 30, Grafton]",River/Stream,,,42.23658166,-71.70515602,20-G501-03,Probe,17-0107,11/1/2019,2019-11-01,10:13:34 AM,10:13:34,Flowing,0.3,0.3,,14.5,14.5,,7.1,7.1,,451.0,451.0,,289.0,289.0,,9.3,9.3,,93,93.0,,,2019-11-01,2019.0,11.0,1.0,305.0,Fall,0,0,0,1,1
134857,Extracted from WPP_WQData_2005-2020.mdb on 6/30/2022 3:25:38 PM,2020,QC4,2022-06-02 11:15:33,Chloride Project (2020),Blackstone,5132425,Quinsigamond River,W2188,Bla04,"[Brigham Hill Road, Grafton]",River/Stream,,,42.20836571,-71.69757011,20-G501-04,Probe,17-0109,11/1/2019,2019-11-01,10:57:35 AM,10:57:35,Flowing,0.2,0.2,,14.5,14.5,,7.1,7.1,,516.0,516.0,,330.0,330.0,,9.1,9.1,,92,92.0,,,2019-11-01,2019.0,11.0,1.0,305.0,Fall,0,0,0,1,1
134858,Extracted from WPP_WQData_2005-2020.mdb on 6/30/2022 3:25:38 PM,2020,QC4,2022-06-02 11:15:33,Chloride Project (2020),Blackstone,5131000,Blackstone River,W1242,Bla05,"[Route 122A (below Fisherville Pond), Grafton]",River/Stream,21.344,21.344,42.17728889,-71.68788468,20-G501-05,Probe,17-0111,11/1/2019,2019-11-01,11:44:33 AM,11:44:33,Flowing,0.2,0.2,,15.2,15.2,,7.6,7.6,,426.0,426.0,,272.0,272.0,,9.8,9.8,,100,100.0,,,2019-11-01,2019.0,11.0,1.0,305.0,Fall,0,0,0,1,1
134859,Extracted from WPP_WQData_2005-2020.mdb on 6/30/2022 3:25:38 PM,2020,QC4,2022-06-02 11:15:33,Chloride Project (2020),Blackstone,5132650,Cold Spring Brook,W2947,Bla06,"[Route 122A (Providence Road), Sutton]",River/Stream,,,42.17548786,-71.72816762,20-G501-06,Probe,17-0113,11/1/2019,2019-11-01,12:25:08 PM,12:25:08,Flowing,0.1,0.1,,13.8,13.8,,7.0,7.0,,246.0,246.0,,157.0,157.0,,9.7,9.7,,95,95.0,,,2019-11-01,2019.0,11.0,1.0,305.0,Fall,0,0,0,1,1
134860,Extracted from WPP_WQData_2005-2020.mdb on 6/30/2022 3:25:38 PM,2020,QC4,2022-06-02 11:15:33,Chloride Project (2020),Blackstone,5132750,Singletary Brook,W1767,Bla07,"[Sycamore Street, Millbury]",River/Stream,,,42.18277682,-71.76604587,20-G501-07,Probe,17-0115,11/1/2019,2019-11-01,1:30:04 PM,13:30:04,Flowing,,,i,8.1,8.1,,7.3,7.3,,192.0,192.0,,123.0,123.0,,12.4,12.4,,107,107.0,,,2019-11-01,2019.0,11.0,1.0,305.0,Fall,0,0,0,1,1
134861,Extracted from WPP_WQData_2005-2020.mdb on 6/30/2022 3:25:38 PM,2020,QC4,2022-06-02 11:15:33,Chloride Project (2020),Blackstone,5100000,Unnamed Tributary,W2948,Bla08,"[unnamed tributary to Indian Lake, Holden Street, Worcester]",River/Stream,,,42.30798331,-71.81943101,20-G501-12,Probe,17-0117,11/1/2019,2019-11-01,4:53:04 PM,16:53:04,Flowing,0.3,0.3,,11.6,11.6,,7.1,7.1,,331.0,331.0,,212.0,212.0,,9.6,9.6,,91,91.0,,,2019-11-01,2019.0,11.0,1.0,305.0,Fall,0,0,0,1,1
134862,Extracted from WPP_WQData_2005-2020.mdb on 6/30/2022 3:25:38 PM,2020,QC4,2022-06-02 11:15:33,Chloride Project (2020),Blackstone,5132825,Dark Brook,W2949,Bla09,"[east of Southbridge Street approximately 430 feet upstream of Brotherton Way, Auburn (downstream of access ramp nearest the Auburn Mall parking garage)]",River/Stream,,,42.20322946,-71.8374543,20-G501-08,Probe,17-0119,11/1/2019,2019-11-01,2:23:34 PM,14:23:34,Flowing,0.0,0.0,i,13.2,13.2,,7.1,7.1,,961.0,961.0,,615.0,615.0,,9.7,9.7,,95,95.0,,,2019-11-01,2019.0,11.0,1.0,305.0,Fall,0,0,0,1,1
134863,Extracted from WPP_WQData_2005-2020.mdb on 6/30/2022 3:25:38 PM,2020,QC4,2022-06-02 11:15:33,Chloride Project (2020),Blackstone,5132880,Unnamed Tributary,W2950,Bla10,"[unnamed tributary to the Dark Brook that outlets Eddy Pond, Sharon Avenue, Auburn]",River/Stream,,,42.19026146,-71.84582602,20-G501-09,Probe,17-0121,11/1/2019,2019-11-01,2:51:04 PM,14:51:04,Flowing,0.0,0.0,i,12.8,12.8,,7.5,7.5,,763.0,763.0,,488.0,488.0,,10.0,10.0,,97,97.0,,,2019-11-01,2019.0,11.0,1.0,305.0,Fall,0,0,0,1,1
