ID,Warehouse_vintage,Datayear,QCStatus,QCDate,Projname,Watershed,SARIS_PALIS_CAMIS,Waterbody,UNIQUE_ID,STAID_YR,DESCRIPTOR,MLTYP_NAME,MILEPT,nMILEPT,Latitude,Longitude,FSLOG,SURV_TYPE,OWMID,DATE,dDATE,TIME,dTIME,FLOWSTAT,DEPTH,nDEPTH,DEPTHSS,TEMP,nTEMP,TEMPSS,PH,nPH,PHSS,SPCOND,nSPCOND,SPCONDSS,TDS,nTDS,TDSSS,DO,nDO,DOSS,DOSAT,nDOSAT,DOSATSS,ResComm,datetime,year,month,day,day_of_year,season,is_summer,DO_critical,stress_combo,flow_flag,risk_score,TEMP_plus2,DO_plus2
134926,Extracted from WPP_WQData_2005-2020.mdb on 6/30/2022 3:25:38 PM,2020,QC4,2022-06-02 11:15:33,CWF (2020),Charles,7239300,Seaverns Brook,W1590,SEAVERNS,"[approximately 1100 feet downstream from Park Road, Weston]",River/Stream,,,42.34154459,-71.26662505,20-H501-01,Probe,CW-0003,7/8/2020,2020-07-08,9:10:43 AM,09:10:43,Flowing,0.1,0.1,,18.9,18.9,,7.6,7.6,,615.0,615.0,,400.0,400.0,,9.3,9.3,,100,100.0,,,2020-07-08,2020.0,7.0,8.0,190.0,Summer,1,0,0,1,2,20.9,8.8
134927,Extracted from WPP_WQData_2005-2020.mdb on 6/30/2022 3:25:38 PM,2020,QC4,2022-06-02 11:15:33,CWF (2020),Charles,7239300,Seaverns Brook,W1590,SEAVERNS,"[approximately 1100 feet downstream from Park Road, Weston]",River/Stream,,,42.34154459,-71.26662505,20-H501-01,Probe,CW-0004,8/5/2020,2020-08-05,8:42:30 AM,08:42:30,Flowing,0.1,0.1,,20.5,20.5,,7.8,7.8,,745.0,745.0,,484.0,484.0,,8.9,8.9,,99,99.0,,,2020-08-05,2020.0,8.0,5.0,218.0,Summer,1,0,0,1,2,22.5,8.4
134928,Extracted from WPP_WQData_2005-2020.mdb on 6/30/2022 3:25:38 PM,2020,QC4,2022-06-02 11:15:33,CWF (2020),Charles,7239250,Cherry Brook,W3003,CHERRY,"[approximately 100 feet upstream/west of Conant Road, Weston]",River/Stream,,,42.38881334,-71.29698568,20-H501-02,Probe,CW-0006,7/8/2020,2020-07-08,10:05:59 AM,10:05:59,Flowing,0.3,0.3,,21.7,21.7,,6.9,6.9,,383.0,383.0,,249.0,249.0,,6.2,6.2,,71,71.0,,,2020-07-08,2020.0,7.0,8.0,190.0,Summer,1,0,0,1,2,23.7,5.7
134929,Extracted from WPP_WQData_2005-2020.mdb on 6/30/2022 3:25:38 PM,2020,QC4,2022-06-02 11:15:33,CWF (2020),Charles,7239250,Cherry Brook,W3003,CHERRY,"[approximately 100 feet upstream/west of Conant Road, Weston]",River/Stream,,,42.38881334,-71.29698568,20-H501-02,Probe,CW-0007,8/5/2020,2020-08-05,9:19:30 AM,09:19:30,Flowing,0.2,0.2,,21.5,21.5,,7.3,7.3,,442.0,442.0,,287.0,287.0,,7.1,7.1,,80,80.0,,,2020-08-05,2020.0,8.0,5.0,218.0,Summer,1,0,0,1,2,23.5,6.6
134932,Extracted from WPP_WQData_2005-2020.mdb on 6/30/2022 3:25:38 PM,2020,QC4,2022-06-02 11:15:33,CWF (2020),Neponset,7341250,Purgatory Brook,W3006,PURGATORY,"[upstream northwest at Route 1 (near Everett Street), Norwood]",River/Stream,,,42.20924747,-71.18482101,20-H501-04,Probe,CW-0013,7/8/2020,2020-07-08,11:56:48 AM,11:56:48,Flowing,0.4,0.4,,20.1,20.1,,7.0,7.0,,862.0,862.0,,561.0,561.0,,7.8,7.8,,86,86.0,,,2020-07-08,2020.0,7.0,8.0,190.0,Summer,1,0,0,1,2,22.1,7.3
134933,Extracted from WPP_WQData_2005-2020.mdb on 6/30/2022 3:25:38 PM,2020,QC4,2022-06-02 11:15:33,CWF (2020),Neponset,7341250,Purgatory Brook,W3006,PURGATORY,"[upstream northwest at Route 1 (near Everett Street), Norwood]",River/Stream,,,42.20924747,-71.18482101,20-H501-04,Probe,CW-0014,8/5/2020,2020-08-05,10:07:00 AM,10:07:00,Flowing,0.3,0.3,,21.9,21.9,,6.8,6.8,,921.0,921.0,,599.0,599.0,,5.8,5.8,,66,66.0,,,2020-08-05,2020.0,8.0,5.0,218.0,Summer,1,0,0,1,2,23.9,5.3
134934,Extracted from WPP_WQData_2005-2020.mdb on 6/30/2022 3:25:38 PM,2020,QC4,2022-06-02 11:15:33,CWF (2020),Neponset,7341600,Mill Brook,W0546,MILL,"[upstream/north of the inlet of Pettee Pond, north of the western end of Winslow Road, Westwood]",River/Stream,0.01,0.01,42.18920084,-71.2401585,20-H501-05,Probe,CW-0017,7/8/2020,2020-07-08,12:49:00 PM,12:49:00,Flowing,0.4,0.4,,19.3,19.3,,6.8,6.8,,303.0,303.0,,197.0,197.0,,8.4,8.4,,91,91.0,,,2020-07-08,2020.0,7.0,8.0,190.0,Summer,1,0,0,1,2,21.3,7.9
134935,Extracted from WPP_WQData_2005-2020.mdb on 6/30/2022 3:25:38 PM,2020,QC4,2022-06-02 11:15:33,CWF (2020),Neponset,7341600,Mill Brook,W0546,MILL,"[upstream/north of the inlet of Pettee Pond, north of the western end of Winslow Road, Westwood]",River/Stream,0.01,0.01,42.18920084,-71.2401585,20-H501-05,Probe,CW-0018,8/5/2020,2020-08-05,10:53:00 AM,10:53:00,Flowing,0.3,0.3,,21.1,21.1,,7.0,7.0,,462.0,462.0,,301.0,301.0,,7.9,7.9,,89,89.0,,,2020-08-05,2020.0,8.0,5.0,218.0,Summer,1,0,0,1,2,23.1,7.4
134936,Extracted from WPP_WQData_2005-2020.mdb on 6/30/2022 3:25:38 PM,2020,QC4,2022-06-02 11:15:33,CWF (2020),Blackstone,5131025,Abbott Run,W2992,ABBOTT,"[Hunts Bridge Road, North Attleborough]",River/Stream,,,41.94464888,-71.37166023,20-H501-06,Probe,CW-0020,7/8/2020,2020-07-08,2:28:30 PM,14:28:30,Flowing,0.7,0.7,,22.4,22.4,,6.9,6.9,,243.0,243.0,,158.0,158.0,,8.4,8.4,,97,97.0,,,2020-07-08,2020.0,7.0,8.0,190.0,Summer,1,0,0,1,2,24.4,7.9
134937,Extracted from WPP_WQData_2005-2020.mdb on 6/30/2022 3:25:38 PM,2020,QC4,2022-06-02 11:15:33,CWF (2020),Blackstone,5131025,Abbott Run,W2992,ABBOTT,"[Hunts Bridge Road, North Attleborough]",River/Stream,,,41.94464888,-71.37166023,20-H501-06,Probe,CW-0021,8/5/2020,2020-08-05,12:10:30 PM,12:10:30,Flowing,0.9,0.9,,24.6,24.6,,6.9,6.9,,229.0,229.0,,149.0,149.0,,7.4,7.4,,89,89.0,,,2020-08-05,2020.0,8.0,5.0,218.0,Summer,1,0,0,1,2,26.6,6.9
