SITE_ID,LATITUDE,LONGITUDE,watershed,year_start,year_end,total_samples,avg_TEMP,avg_DO,avg_risk_score,avg_TEMP_plus2,avg_DO_plus2,DO_critical_baseline,DO_critical_scenario,new_critical_events,DO_critical_percent,percent_increase_critical,composite_risk_score,risk_category
W0384,42.36514506,-71.1903328,Charles,2007.0,2007.0,11,21.09090909090909,5.709090909090909,2.090909090909091,23.09090909090909,5.209090909090909,5,5,0,45.45454545454545,0.0,33.27272727272727,MODERATE
W0406,42.24980728,-71.22270212,Charles,2007.0,2007.0,10,20.1,8.03,1.6,22.1,7.529999999999999,0,0,0,0.0,,10.05,LOW
W0407,42.25123356,-71.23970713,Charles,2007.0,2007.0,10,20.07,5.380000000000001,2.1,22.07,4.880000000000001,5,6,1,50.0,20.0,35.035,MODERATE
W0408,42.25417326,-71.29337351,Charles,2007.0,2007.0,10,17.48,5.2,2.1,19.48,4.7,5,8,3,50.0,60.0,33.74,MODERATE
W0409,42.28652324,-71.29384261,Charles,2007.0,2007.0,10,17.27,8.6,1.6,19.27,8.1,0,0,0,0.0,,8.635,LOW
W0414,42.14007115,-71.3896734,Charles,2007.0,2007.0,13,19.607692307692307,8.46923076923077,1.5384615384615383,21.607692307692307,7.969230769230768,0,0,0,0.0,,9.803846153846154,LOW
W0416,42.21553968,-71.40765942,Charles,2007.0,2007.0,9,16.38888888888889,6.433333333333334,1.7777777777777777,18.38888888888889,5.933333333333334,2,3,1,22.22222222222222,50.0,19.305555555555557,MODERATE
W0423,42.18829134,-71.36280624,Charles,2007.0,2007.0,6,21.05,7.1000000000000005,1.6666666666666667,23.05,6.6000000000000005,0,0,0,0.0,,10.525,LOW
W0533,42.085924,-71.25668829,Neponset,2017.0,2017.0,1,3.5,12.2,1.0,5.5,11.7,0,0,0,0.0,,1.75,LOW
W0543,42.17269436,-71.2049852,Neponset,2017.0,2017.0,1,2.7,12.8,1.0,4.7,12.3,0,0,0,0.0,,1.35,LOW
