SITE_ID,LATITUDE,LONGITUDE,watershed,year_start,year_end,total_samples,avg_TEMP,avg_DO,avg_risk_score,avg_TEMP_plus2,avg_DO_plus2,DO_critical_baseline,DO_critical_scenario,new_critical_events,DO_critical_percent,percent_increase_critical,composite_risk_score,risk_category
W0057,42.02769615,-71.95951089,Quinebaug,2006.0,2006.0,1,11.3,11.2,1.0,13.3,10.7,0,0,0,0.0,,5.65,LOW
W0075,42.0246995,-71.88418202,French,2009.0,2013.0,22,13.327272727272726,10.786363636363635,1.2727272727272727,15.327272727272726,10.286363636363635,0,0,0,0.0,,6.663636363636363,LOW
W0324,42.45888846,-71.3973783,Concord (SuAsCo),2006.0,2006.0,2,20.0,8.0,1.5,22.0,7.5,0,0,0,0.0,,10.0,LOW
W0475,42.15037455,-72.60763627,Chicopee,2008.0,2008.0,5,20.56,9.32,1.6,22.56,8.82,0,0,0,0.0,,10.28,LOW
W0480,42.5630966,-71.76875735,Nashua,2008.0,2008.0,14,15.55,9.828571428571427,1.4285714285714286,17.55,9.328571428571427,0,0,0,0.0,,7.775,LOW
W0481,42.4951686,-71.72192464,Nashua,2005.0,2013.0,53,13.19811320754717,9.954716981132076,1.339622641509434,15.19811320754717,9.454716981132076,0,0,0,0.0,,6.599056603773585,LOW
W0482,42.42997432,-71.67930013,Nashua,2008.0,2008.0,8,16.9,7.375,2.0,18.9,6.875,2,2,0,25.0,0.0,20.95,MODERATE
W0483,42.44442786,-71.67186298,Nashua,2008.0,2013.0,22,13.545454545454543,8.977272727272727,1.4545454545454546,15.545454545454543,8.486363636363636,1,1,0,4.545454545454546,0.0,9.045454545454545,LOW
W0484,42.49602094,-71.62643687,Nashua,2008.0,2008.0,8,20.075,6.5125,1.875,22.075,6.0125,1,3,2,12.5,200.0,16.2875,MODERATE
W0485,42.66968673,-71.56776529,Nashua,2005.0,2013.0,46,12.73695652173913,10.110869565217392,1.2608695652173914,14.73695652173913,9.610869565217392,0,0,0,0.0,,6.368478260869565,LOW
W0486,42.67172981,-71.57703129,Nashua,2008.0,2008.0,6,20.95,8.25,2.0,22.95,7.75,0,0,0,0.0,,10.475,LOW
W0487,42.62094186,-71.64380951,Nashua,2005.0,2013.0,49,13.275510204081632,9.20408163265306,1.3673469387755102,15.275510204081632,8.704081632653061,0,1,1,0.0,0.0,6.637755102040816,LOW
W0488,42.57812405,-71.60976926,Nashua,2008.0,2008.0,6,20.733333333333334,7.949999999999999,2.0,22.733333333333334,7.449999999999999,0,0,0,0.0,,10.366666666666667,LOW
W0490,42.26477944,-72.00491606,Chicopee,2005.0,2020.0,50,12.918,10.066,1.44,14.918,9.566,0,0,0,0.0,,6.459,LOW
W0491,42.18142994,-72.26354268,Chicopee,2005.0,2013.0,50,14.542,11.014,1.38,16.542,10.514,0,0,0,0.0,,7.271,LOW
W0492,42.23872578,-72.285755,Chicopee,2005.0,2013.0,51,13.588235294117649,10.811764705882352,1.392156862745098,15.588235294117649,10.311764705882352,0,0,0,0.0,,6.794117647058824,LOW
W0493,42.26797538,-72.33276108,Chicopee,2005.0,2013.0,50,10.814,11.47,1.4,12.814,10.97,0,0,0,0.0,,5.407,LOW
